time,energy-USL,energy-USF,energy-MUSL,
1.00086085e+1,2.0208718e+2,2.2916734e+2,2.6804322e+2,
9.992798e+0,2.0080516e+2,2.2890146e+2,2.661081e+2,
9.976986e+0,1.9829507e+2,2.3054379e+2,2.6259765e+2,
9.961175e+0,1.9480343e+2,2.339382e+2,2.5784656e+2,
9.945363e+0,1.9067079e+2,2.3876125e+2,2.523081e+2,
9.929552e+0,1.8629941e+2,2.4455291e+2,2.4651103e+2,
9.91374e+0,1.8211578e+2,2.507605e+2,2.4101044e+2,
9.8979294e+0,1.7852809e+2,2.5679109e+2,2.3633173e+2,
9.8821175e+0,1.7588753e+2,2.6206738e+2,2.3292117e+2,
9.866306e+0,1.7445497e+2,2.6608565e+2,2.3110396e+2,
9.8504955e+0,1.743761e+2,2.684629e+2,2.3105292e+2,
9.8346835e+0,1.7566745e+2,2.689726e+2,2.3277244e+2,
9.818872e+0,1.7821477e+2,2.675667e+2,2.3609811e+2,
9.8030597e+0,1.8178384e+2,2.6437968e+2,2.4071231e+2,
9.7872496e+0,1.8604283e+2,2.597159e+2,2.4617471e+2,
9.7714376e+0,1.9059375e+2,2.5402048e+2,2.5196415e+2,
9.755627e+0,1.9501045e+2,2.478369e+2,2.5752833e+2,
9.739815e+0,1.9887917e+2,2.4175517e+2,2.6233634e+2,
9.7240037e+0,2.0183805e+2,2.3635563e+2,2.6592937e+2,
9.708193e+0,2.036117e+2,2.3215361e+2,2.6796445e+2,
9.692381e+0,2.0403759e+2,2.2955024e+2,2.68247e+2,
9.6765697e+0,2.0308174e+2,2.2879429e+2,2.6674968e+2,
9.660758e+0,2.0084198e+2,2.2995834e+2,2.6361486e+2,
9.644947e+0,1.9753899e+2,2.3293184e+2,2.5914136e+2,
9.629135e+0,1.9349529e+2,2.3743145e+2,2.5375587e+2,
9.6133244e+0,1.8910459e+2,2.4302809e+2,2.4797244e+2,
9.5975125e+0,1.8479489e+2,2.4918629e+2,2.4234445e+2,
9.581701e+0,1.8098673e+2,2.5531742e+2,2.3740989e+2,
9.5658904e+0,1.7805238e+2,2.6083606e+2,2.3363966e+2,
9.5500785e+0,1.7628086e+2,2.6521572e+2,2.3139323e+2,
9.534267e+0,1.7585024e+2,2.6803875e+2,2.3088454e+2,
9.5184547e+0,1.7681068e+2,2.6903632e+2,2.3216155e+2,
9.5026445e+0,1.7907962e+2,2.6811367e+2,2.35102e+2,
9.4868326e+0,1.8244952e+2,2.6535934e+2,2.3942505e+2,
9.471022e+0,1.866077e+2,2.6103628e+2,2.4471806e+2,
9.45521e+0,1.9116588e+2,2.5555715e+2,2.50476e+2,
9.4393986e+0,1.9569743e+2,2.4944453e+2,2.561496e+2,
9.423588e+0,1.9977781e+2,2.4328154e+2,2.6119754e+2,
9.407776e+0,2.0302512e+2,2.3765607e+2,2.6513815e+2,
9.3919647e+0,2.0513661e+2,2.3310477e+2,2.6759532e+2,
9.376153e+0,2.059176e+2,2.3006204e+2,2.683342e+2,
9.360342e+0,2.0530026e+2,2.2881846e+2,2.6728398e+2,
9.34453e+0,2.0335023e+2,2.294931e+2,2.6454434e+2,
9.3287194e+0,2.0026049e+2,2.3202209e+2,2.603764e+2,
9.312908e+0,1.9633311e+2,2.3616457e+2,2.5517765e+2,
9.297096e+0,1.919507e+2,2.4152564e+2,2.4944417e+2,
9.2812854e+0,1.875401e+2,2.4759382e+2,2.4372402e+2,
9.2654735e+0,1.8353179e+2,2.5378987e+2,2.385645e+2,
9.249662e+0,1.8031715e+2,2.595214e+2,2.3445807e+2,
9.2338496e+0,1.7821209e+2,2.642402e+2,2.3179638e+2,
9.2180395e+0,1.7742653e+2,2.6749617e+2,2.3083304e+2,
9.2022276e+0,1.7804459e+2,2.6897883e+2,2.3165944e+2,
9.186417e+0,1.8001643e+2,2.6854727e+2,2.3419629e+2,
9.1706055e+0,1.8316306e+2,2.6624313e+2,2.3820117e+2,
9.1547936e+0,1.8719308e+2,2.6228663e+2,2.4329178e+2,
9.138983e+0,1.9173074e+2,2.5705552e+2,2.4898233e+2,
9.123171e+0,1.9635148e+2,2.5104892e+2,2.5472993e+2,
9.1073596e+0,2.0062241e+2,2.4484004e+2,2.5998628e+2,
9.091548e+0,2.0414361e+2,2.3902127e+2,2.6424974e+2,
9.075737e+0,2.0658636e+2,2.3414786e+2,2.671136e+2,
